iter	Logloss
0	0.6507109295
1	0.6230266546
2	0.5958785996
3	0.5680094466
4	0.5424893732
5	0.5214047577
6	0.5019509776
7	0.4834963421
8	0.4666291385
9	0.451820147
10	0.4351004607
11	0.4232892126
12	0.4096733421
13	0.3983963695
14	0.3954580906
15	0.384691741
16	0.3776426018
17	0.3691143607
18	0.3637438936
19	0.3590363109
20	0.3530392586
21	0.350226752
22	0.3445041798
23	0.3395908788
24	0.3362672039
25	0.331832347
26	0.3274430078
27	0.324954946
28	0.3225026748
29	0.3172528549
30	0.3147718968
31	0.3121765776
32	0.3104063146
33	0.3080630182
34	0.3045958896
35	0.3024421902
36	0.2997494719
37	0.2976836549
38	0.2958302663
39	0.2938088159
40	0.2916013019
41	0.2897422543
42	0.2874913435
43	0.2852204758
44	0.2824875152
45	0.2800192539
46	0.277432674
47	0.2761798533
48	0.2746687902
49	0.2737352018
50	0.2724850108
51	0.2696054021
52	0.2674047613
53	0.2649080409
54	0.2626801594
55	0.2616417509
56	0.2604874161
57	0.2588878662
58	0.2579796841
59	0.2566479323
60	0.255702224
61	0.2544755978
62	0.2525880456
63	0.2516787807
64	0.2509068908
65	0.2498678112
66	0.2485386007
67	0.2472651976
68	0.2466077014
69	0.2450734124
70	0.244122267
71	0.2433924979
72	0.2419760243
73	0.2402542651
74	0.2398005961
75	0.2381528636
76	0.2371476337
77	0.235267835
78	0.2339867989
79	0.2323292869
80	0.2312093827
81	0.2298735029
82	0.2284653114
83	0.2271055445
84	0.226085688
85	0.2244253201
86	0.2236062319
87	0.2224214609
88	0.2218280049
89	0.22056068
90	0.2196945266
91	0.2187222439
92	0.2173544132
93	0.2156273252
94	0.2132519549
95	0.2123409541
96	0.2114280165
97	0.2109412474
98	0.2102978314
99	0.2081870115
100	0.2076565642
101	0.2065936903
102	0.2058683243
103	0.2052184608
104	0.2041084013
105	0.2036431343
106	0.2024836881
107	0.2011652136
108	0.2001557567
109	0.1989258563
110	0.1978774829
111	0.19669749
112	0.1960220692
113	0.1947205441
114	0.1935172965
115	0.1926469761
116	0.1918406995
117	0.1912873265
118	0.1896876287
119	0.189182248
