iter	Passed	Remaining
0	1	1592
1	2	1292
2	3	1303
3	5	1263
4	6	1230
5	7	1209
6	8	1137
7	8	1098
8	9	1075
9	11	1092
10	12	1125
11	14	1160
12	15	1143
13	16	1158
14	17	1174
15	18	1161
16	20	1169
17	21	1163
18	22	1163
19	23	1146
20	24	1145
21	25	1126
22	26	1133
23	27	1121
24	28	1116
25	29	1118
26	30	1112
27	32	1112
28	33	1114
29	34	1119
30	36	1125
31	37	1133
32	38	1140
33	40	1146
34	41	1141
35	42	1136
36	43	1128
37	44	1125
38	45	1127
39	47	1128
40	48	1129
41	49	1120
42	50	1122
43	51	1125
44	53	1126
45	54	1121
46	55	1121
47	56	1120
48	57	1110
49	58	1104
50	58	1095
51	60	1095
52	61	1098
53	62	1094
54	63	1096
55	64	1091
56	66	1096
57	67	1094
58	68	1090
59	69	1093
60	70	1090
61	72	1092
62	73	1090
63	74	1094
64	75	1091
65	77	1091
66	78	1098
67	99	1360
68	100	1359
69	102	1358
70	103	1357
71	105	1356
72	106	1350
73	107	1347
74	108	1340
75	109	1332
76	110	1324
77	112	1324
78	113	1320
79	114	1317
80	115	1315
81	116	1308
82	118	1303
83	119	1308
84	121	1308
85	123	1317
86	125	1312
87	126	1307
88	127	1308
89	129	1305
90	130	1299
91	130	1292
92	132	1289
93	133	1287
94	134	1285
95	136	1281
96	137	1276
97	138	1270
98	139	1267
99	140	1261
100	140	1253
101	141	1248
102	143	1247
103	144	1244
104	145	1238
105	146	1235
106	147	1233
107	148	1229
108	150	1228
109	151	1223
110	152	1218
111	152	1212
112	154	1210
113	155	1206
114	156	1204
115	157	1202
116	158	1199
117	160	1197
118	161	1195
119	162	1190
120	163	1188
121	164	1186
122	165	1181
123	166	1177
124	167	1172
125	168	1168
126	169	1168
127	171	1166
128	172	1165
129	173	1160
130	174	1158
131	175	1155
132	176	1150
133	177	1147
134	178	1146
135	180	1144
136	180	1140
137	181	1136
138	183	1133
139	184	1131
140	185	1129
141	187	1133
142	188	1130
143	189	1126
144	191	1127
145	192	1125
146	193	1123
147	195	1122
148	195	1119
149	196	1116
150	198	1114
151	199	1111
152	200	1109
153	201	1108
154	203	1109
155	204	1105
156	205	1105
157	206	1101
158	207	1099
159	208	1095
160	210	1095
161	211	1092
162	212	1088
163	213	1085
164	214	1083
165	215	1080
166	216	1077
167	217	1077
168	218	1074
169	219	1071
170	220	1070
171	221	1067
172	222	1065
173	223	1062
174	224	1059
175	226	1059
176	227	1056
177	228	1054
178	229	1053
179	231	1052
180	232	1050
181	233	1048
182	234	1047
183	235	1046
184	236	1043
185	237	1041
186	238	1038
187	239	1036
188	240	1033
189	241	1030
190	242	1027
191	243	1024
192	244	1023
193	246	1023
194	247	1022
195	248	1020
196	250	1019
197	251	1017
198	252	1014
199	253	1012
200	254	1012
201	255	1011
202	256	1008
203	257	1005
204	258	1003
205	259	1000
206	260	999
207	261	996
208	263	997
209	264	994
210	265	994
211	267	992
212	268	990
213	269	989
214	270	988
215	272	987
216	273	985
217	274	983
218	275	982
219	276	979
220	277	977
221	278	974
222	279	972
223	280	970
224	281	969
225	283	969
226	284	968
227	285	968
228	287	967
229	288	965
230	289	963
231	290	961
232	291	958
233	292	958
234	294	958
235	296	958
236	299	965
237	301	964
238	302	962
239	304	963
240	305	961
241	306	961
242	308	961
243	311	963
244	312	964
245	313	961
246	314	959
247	315	957
248	317	956
249	318	954
250	319	953
251	320	952
252	322	951
253	323	951
254	325	950
255	326	950
256	328	949
257	330	949
258	331	948
259	332	946
260	333	944
261	334	942
262	335	941
263	336	939
264	338	938
265	339	936
266	340	935
267	341	934
268	343	932
269	344	931
270	345	929
271	346	927
272	348	926
273	348	924
274	350	923
275	351	922
276	353	921
277	354	921
278	355	919
279	357	918
280	358	916
281	359	914
282	360	913
283	361	911
284	363	912
285	364	910
286	365	909
287	366	907
288	367	904
289	369	904
290	371	904
291	372	904
292	373	902
293	375	902
294	377	902
295	379	901
296	380	901
297	382	901
298	384	902
299	386	901
300	388	901
301	389	899
302	390	898
303	391	897
304	393	896
305	394	894
306	396	894
307	397	892
308	398	891
309	399	889
310	401	888
311	402	887
312	403	885
313	404	883
314	405	881
315	406	880
316	407	877
317	408	876
318	410	875
319	412	875
320	413	874
321	415	874
322	416	873
323	418	872
324	419	870
325	420	869
326	421	867
327	422	865
328	424	865
329	425	864
330	427	863
331	428	863
332	430	862
333	432	862
334	433	860
335	434	859
336	436	859
337	437	857
338	439	856
339	440	855
340	441	853
341	442	851
342	443	849
343	445	848
344	446	848
345	448	848
346	449	846
347	451	845
348	452	844
349	453	842
350	454	841
351	456	840
352	457	838
353	458	837
354	460	836
355	462	835
356	463	834
357	464	832
358	465	831
359	466	829
360	467	826
361	468	825
362	469	823
363	470	822
364	471	820
365	472	818
366	473	816
367	474	815
368	476	814
369	477	813
370	479	812
371	480	810
372	481	809
373	483	809
374	484	807
375	486	806
376	487	805
377	488	804
378	490	803
379	491	801
380	492	800
381	493	798
382	494	796
383	495	795
384	496	793
385	497	791
386	498	789
387	499	787
388	500	785
389	500	783
390	502	782
391	503	781
392	504	779
393	506	778
394	507	776
395	508	775
396	509	774
397	511	773
398	512	771
399	513	770
400	514	768
401	515	767
402	516	765
403	518	764
404	519	763
405	520	762
406	522	761
407	523	760
408	525	759
409	527	758
410	527	756
411	528	754
412	530	753
413	531	752
414	532	750
415	533	748
416	534	747
417	535	745
418	537	745
419	539	744
420	540	743
421	541	741
422	542	739
423	543	738
424	544	736
425	545	734
426	546	733
427	547	732
428	548	730
429	551	730
430	552	729
431	554	728
432	555	727
433	557	726
434	558	725
435	560	724
436	561	723
437	563	722
438	565	722
439	566	721
440	569	721
441	570	720
442	571	718
443	573	717
444	574	716
445	575	714
446	576	713
447	578	712
448	579	710
449	580	709
450	581	707
451	582	706
452	585	706
453	586	705
454	588	704
455	589	703
456	590	701
457	592	700
458	593	699
459	595	699
460	596	697
461	598	696
462	599	695
463	600	693
464	601	691
465	602	690
466	604	689
467	605	688
468	606	687
469	607	685
470	609	684
471	610	683
472	611	681
473	612	680
474	613	678
475	614	676
476	616	675
477	617	674
478	618	673
479	620	672
480	621	670
481	622	668
482	623	667
483	625	666
484	626	665
485	627	663
486	628	662
487	629	660
488	630	658
489	632	657
490	633	656
491	634	655
492	636	654
493	637	652
494	637	650
495	638	649
496	640	648
497	641	646
498	643	645
499	644	644
500	645	643
501	646	641
502	647	640
503	648	638
504	651	638
505	651	636
506	653	635
507	654	633
508	655	632
509	657	632
510	659	630
511	660	629
512	661	628
513	662	626
514	663	624
515	665	623
516	666	622
517	667	621
518	668	619
519	669	617
520	671	617
521	672	616
522	674	615
523	675	614
524	677	612
525	678	611
526	681	611
527	682	610
528	683	608
529	685	607
530	687	607
531	688	606
532	691	605
533	692	604
534	693	602
535	694	601
536	695	600
537	697	598
538	698	597
539	699	595
540	700	594
541	702	593
542	704	592
543	705	591
544	706	589
545	707	588
546	709	587
547	710	586
548	711	584
549	713	583
550	714	582
551	715	580
552	716	579
553	717	577
