iter	Logloss
0	0.6486113417
1	0.6164109116
2	0.5873660927
3	0.5615112317
4	0.5389853976
5	0.5174612582
6	0.4994880106
7	0.4826555175
8	0.4686243412
9	0.4556327884
10	0.4449437388
11	0.432611718
12	0.4258261115
13	0.4178013483
14	0.4106463466
15	0.4059710161
16	0.398582306
17	0.3913174111
18	0.3836111028
19	0.3774450678
20	0.3701100521
21	0.3648304223
22	0.3596150865
23	0.3553130511
24	0.3499017972
25	0.345876777
26	0.3417844972
27	0.3384756062
28	0.3352173052
29	0.3315183388
30	0.3275816391
31	0.3242180883
32	0.3212120665
33	0.3190212171
34	0.3166792831
35	0.3145238815
36	0.3129943904
37	0.3099577965
38	0.3081725931
39	0.3057191991
40	0.3041628363
41	0.3004276807
42	0.2976841463
43	0.2964511976
44	0.2946642338
45	0.2928338026
46	0.2895376004
47	0.2884926474
48	0.2865942906
49	0.2854332048
50	0.2828005787
51	0.2800780868
52	0.2788862573
53	0.27738683
54	0.2760476901
55	0.2748298999
56	0.2742751923
57	0.2726899885
58	0.2710862487
59	0.2698742051
60	0.2675307408
61	0.266185167
62	0.2650809573
63	0.2631509479
64	0.2613601992
65	0.2600128329
66	0.2584349216
67	0.2566720089
68	0.2547749516
69	0.2531229968
70	0.2513167369
71	0.2497359237
72	0.2481915711
73	0.2462635439
74	0.2453922425
75	0.2435138908
76	0.2415076136
77	0.2397634601
78	0.2384421076
79	0.2363666642
80	0.2352818532
81	0.2340084458
82	0.2321755895
83	0.2307801891
84	0.230097563
85	0.2288010356
86	0.2279869326
87	0.227204066
88	0.2261876499
89	0.2249144276
90	0.2242026806
91	0.2231052773
92	0.2221389962
93	0.2205008076
94	0.219939612
95	0.218451385
96	0.2170961112
97	0.2158335258
98	0.2153487198
99	0.2140994953
