iter	Passed	Remaining
0	0	81
1	2	102
2	3	118
3	5	125
4	6	129
5	7	118
6	9	121
7	10	122
8	12	122
9	13	122
10	14	120
11	16	118
12	16	111
13	17	110
14	19	110
15	20	105
16	21	104
17	22	103
18	24	103
19	25	101
20	26	100
21	28	99
22	29	97
23	30	96
24	31	95
25	33	94
26	34	93
27	36	92
28	37	92
29	39	91
30	40	90
31	42	89
32	43	88
33	44	86
34	46	85
35	47	84
36	48	81
37	49	81
38	51	80
39	53	79
40	53	77
41	55	76
42	56	75
43	57	72
44	58	71
45	59	70
46	60	68
47	62	67
48	63	66
49	65	65
50	67	64
51	68	63
52	70	62
53	72	61
54	73	60
55	75	58
56	75	57
57	77	55
58	78	54
59	79	53
60	81	51
61	82	50
62	84	49
63	85	48
64	86	46
65	88	45
66	89	44
67	90	42
68	92	41
69	93	40
70	94	38
71	96	37
72	97	36
73	99	34
74	101	33
75	102	32
76	104	31
77	105	29
78	107	28
79	108	27
80	109	25
81	111	24
82	112	22
83	113	21
84	114	20
85	115	18
86	117	17
87	118	16
88	119	14
89	121	13
90	122	12
91	124	10
92	125	9
93	126	8
94	127	6
95	129	5
96	130	4
97	131	2
98	132	1
99	134	0
